Order, Family, Genus, Species_Count
Geraniales,Vivianiaceae,Wendtia,1
Geraniales,Vivianiaceae,Viviania,11
Geraniales,Vivianiaceae,Balbisia,9
Geraniales,Melianthaceae,Francoa,2
Geraniales,Melianthaceae,Greyia,3
Geraniales,Melianthaceae,Bersama,13
Geraniales,Melianthaceae,Melianthus,8
Geraniales,Francoaceae,Tetilla,1
Geraniales,Geraniaceae,California,1
Geraniales,Geraniaceae,Pelargonium,331
Geraniales,Geraniaceae,Hypseocharis,6
Geraniales,Geraniaceae,Monsonia,38
Geraniales,Geraniaceae,Erodium,133
Geraniales,Geraniaceae,Geranium,395
Geraniales,Geraniaceae,Geraniospermum,2
Geraniales,Geraniaceae,Dimacria,1
Geraniales,Geraniaceae,Dibrachya,1
Geraniales,Geraniaceae,Robertiella,1
Geraniales,Geraniaceae,Ciconium,3
Malvales,Cytinaceae,Cytinus,8
Malvales,Bixaceae,Bdallophytum,3
Malvales,Bixaceae,Cochlospermum,15
Malvales,Bixaceae,Bixa,6
Malvales,Bixaceae,Amoreuxia,4
Malvales,Bixaceae,Diegodendron,1
Malvales,Bixaceae,Rhinanthera,1
Malvales,Bixaceae,Phoberos,2
Malvales,Bixaceae,Tetracocyne,1
Malvales,Diegodendraceae,Moquerysia,1
Malvales,Thymelaeaceae,Synandrodaphne,1
Malvales,Thymelaeaceae,Edgeworthia,5
Malvales,Thymelaeaceae,Peddiea,10
Malvales,Thymelaeaceae,Wikstroemia,91
Malvales,Thymelaeaceae,Daphne,98
Malvales,Thymelaeaceae,Struthiola,35
Malvales,Thymelaeaceae,Dais,3
Malvales,Thymelaeaceae,Lasiosiphon,1
Malvales,Thymelaeaceae,Stellera,2
Malvales,Thymelaeaceae,Dicranolepis,18
Malvales,Thymelaeaceae,Enkleia,3
Malvales,Thymelaeaceae,Thecanthes,5
Malvales,Thymelaeaceae,Aquilaria,22
Malvales,Thymelaeaceae,Diarthron,15
Malvales,Thymelaeaceae,Gonystylus,34
Malvales,Thymelaeaceae,Thymelaea,33
Malvales,Thymelaeaceae,Drapetes,1
Malvales,Thymelaeaceae,Dendrostellera,1
Malvales,Thymelaeaceae,Rhamnoneuron,1
Malvales,Thymelaeaceae,Dirca,4
Malvales,Thymelaeaceae,Pimelea,126
Malvales,Thymelaeaceae,Craterosiphon,9
Malvales,Thymelaeaceae,Daphnopsis,78
Malvales,Thymelaeaceae,Stephanodaphne,10
Malvales,Thymelaeaceae,Kelleria,11
Malvales,Thymelaeaceae,Lachnaea,41
Malvales,Thymelaeaceae,Solmsia,2
Malvales,Thymelaeaceae,Phaleria,24
Malvales,Thymelaeaceae,Lethedon,14
Malvales,Thymelaeaceae,Octolepis,5
Malvales,Thymelaeaceae,Ovidia,2
Malvales,Thymelaeaceae,Passerina,25
Malvales,Thymelaeaceae,Gyrinops,9
Malvales,Thymelaeaceae,Arnhemia,1
Malvales,Thymelaeaceae,Deltaria,1
Malvales,Thymelaeaceae,Gnidia,152
Malvales,Thymelaeaceae,Synaptolepis,6
Malvales,Thymelaeaceae,Eriosolena,1
Malvales,Thymelaeaceae,Schoenobiblus,10
Malvales,Thymelaeaceae,Aetoxylon,1
Malvales,Thymelaeaceae,Diplomorpha,1
Malvales,Thymelaeaceae,Hargasseria,1
Malvales,Thymelaeaceae,Jedda,1
Malvales,Thymelaeaceae,Goodallia,1
Malvales,Thymelaeaceae,Lagetta,3
Malvales,Thymelaeaceae,Lophostoma,4
Malvales,Thymelaeaceae,Laureola,1
Malvales,Thymelaeaceae,Funifera,5
Malvales,Thymelaeaceae,Lasiadenia,2
Malvales,Thymelaeaceae,Tepuianthus,6
Malvales,Thymelaeaceae,Atemnosiphon,1
Malvales,Thymelaeaceae,Linodendron,3
Malvales,Thymelaeaceae,Linostoma,4
Malvales,Thymelaeaceae,Sanamunda,1
Malvales,Muntingiaceae,Muntingia,1
Malvales,Muntingiaceae,Dicraspidia,1
Malvales,Sarcolaenaceae,Sarcolaena,8
Malvales,Sarcolaenaceae,Leptolaena,13
Malvales,Sarcolaenaceae,Schizolaena,20
Malvales,Sarcolaenaceae,Pentachlaena,3
Malvales,Sarcolaenaceae,Rhodolaena,7
Malvales,Sarcolaenaceae,Eremolaena,3
Malvales,Sarcolaenaceae,Perrierodendron,5
Malvales,Sarcolaenaceae,Mediusella,1
Malvales,Sarcolaenaceae,Xerochlamys,8
Malvales,Sarcolaenaceae,Xyloolaena,4
Malvales,Neuradaceae,Neurada,1
Malvales,Neuradaceae,Neuradopsis,2
Malvales,Sphaerosepalaceae,Grielum,4
Malvales,Sphaerosepalaceae,Dialyceras,2
Malvales,Sphaerosepalaceae,Rhopalocarpus,18
Malvales,Cistaceae,Ropalocarpus,1
Malvales,Cistaceae,Cistus,83
Malvales,Cistaceae,Fumana,24
Malvales,Cistaceae,Hudsonia,3
Malvales,Cistaceae,Helianthemum,174
Malvales,Cistaceae,Tuberaria,14
Malvales,Cistaceae,Halimium,15
Malvales,Cistaceae,Lechea,22
Malvales,Cistaceae,Crocanthemum,18
Malvales,Cistaceae,Triberta,2
Malvales,Malvaceae,Christiana,5
Malvales,Malvaceae,Diplodiscus,11
Malvales,Malvaceae,Carpodiptera,2
Malvales,Malvaceae,Brownlowia,29
Malvales,Malvaceae,Jarandersonia,7
Malvales,Malvaceae,Pentace,30
Malvales,Malvaceae,Berrya,10
Malvales,Malvaceae,Eriolaena,10
Malvales,Malvaceae,Excentrodendron,2
Malvales,Malvaceae,Dombeya,214
Malvales,Malvaceae,Helmiopsis,10
Malvales,Malvaceae,Schoutenia,10
Malvales,Malvaceae,Ruizia,1
Malvales,Malvaceae,Burretiodendron,4
Malvales,Malvaceae,Helmiopsiella,4
Malvales,Malvaceae,Trochetiopsis,4
Malvales,Malvaceae,Trochetia,6
Malvales,Malvaceae,Pentapetes,2
Malvales,Malvaceae,Pterospermum,45
Malvales,Malvaceae,Nesogordonia,24
Malvales,Malvaceae,Paramelhania,1
Malvales,Malvaceae,Periptera,5
Malvales,Malvaceae,Anisodontea,18
Malvales,Malvaceae,Malachra,12
Malvales,Malvaceae,Anoda,22
Malvales,Malvaceae,Alyogyne,3
Malvales,Malvaceae,Dendrosida,7
Malvales,Malvaceae,Megistostegium,3
Malvales,Malvaceae,Kokia,4
Malvales,Malvaceae,Malva,75
Malvales,Malvaceae,Wissadula,40
Malvales,Malvaceae,Malacothamnus,12
Malvales,Malvaceae,Allosidastrum,4
Malvales,Malvaceae,Corynabutilon,10
Malvales,Malvaceae,Talipariti,20
Malvales,Malvaceae,Horsfordia,4
Malvales,Malvaceae,Asterotrichion,1
Malvales,Malvaceae,Howittia,1
Malvales,Malvaceae,Plagianthus,5
Malvales,Malvaceae,Nototriche,110
Malvales,Malvaceae,Callirhoe,8
Malvales,Malvaceae,Modiolastrum,7
Malvales,Malvaceae,Anotea,1
Malvales,Malvaceae,Callianthe,40
Malvales,Malvaceae,Tetrasida,4
Malvales,Malvaceae,Eremalche,3
Malvales,Malvaceae,Calyculogygas,2
Malvales,Malvaceae,Alcea,86
Malvales,Malvaceae,Lebronnecia,1
Malvales,Malvaceae,Modiola,1
Malvales,Malvaceae,Kydia,2
Malvales,Malvaceae,Cienfuegosia,32
Malvales,Malvaceae,Decaschistia,17
Malvales,Malvaceae,Cephalohibiscus,1
Malvales,Malvaceae,Rhynchosida,2
Malvales,Malvaceae,Hibiscus,471
Malvales,Malvaceae,Tarasa,29
Malvales,Malvaceae,Fioria,1
Malvales,Malvaceae,Fuertesimalva,14
Malvales,Malvaceae,Thespesiopsis,1
Malvales,Malvaceae,Humbertiella,6
Malvales,Malvaceae,Gossypioides,2
Malvales,Malvaceae,Peltaea,18
Malvales,Malvaceae,Iliamna,8
Malvales,Malvaceae,Nayariophyton,1
Malvales,Malvaceae,Kearnemalvastrum,2
Malvales,Malvaceae,Lawrencia,12
Malvales,Malvaceae,Coelostegia,6
Malvales,Malvaceae,Monteiroa,10
Malvales,Malvaceae,Kitaibela,1
Malvales,Malvaceae,Andeimalva,3
Malvales,Malvaceae,Radyera,2
Malvales,Malvaceae,Robinsonella,16
Malvales,Malvaceae,Bastardiastrum,8
Malvales,Malvaceae,Gaya,38
Malvales,Malvaceae,Papuodendron,2
Malvales,Malvaceae,Uladendron,2
Malvales,Malvaceae,Azanza,2
Malvales,Malvaceae,Meximalva,2
Malvales,Malvaceae,Gynatrix,2
Malvales,Malvaceae,Hampea,21
Malvales,Malvaceae,Kosteletzkya,30
Malvales,Malvaceae,Batesimalva,5
Malvales,Malvaceae,Abelmoschus,14
Malvales,Malvaceae,Neesia,9
Malvales,Malvaceae,Gossypium,67
Malvales,Malvaceae,Acaulimalva,22
Malvales,Malvaceae,Sida,313
Malvales,Malvaceae,Perrierophytum,9
Malvales,Malvaceae,Helicteropsis,1
Malvales,Malvaceae,Abutilon,185
Malvales,Malvaceae,Neobrittonia,1
Malvales,Malvaceae,Pseudabutilon,19
Malvales,Malvaceae,Allowissadula,9
Malvales,Malvaceae,Malvella,4
Malvales,Malvaceae,Lecanophora,7
Malvales,Malvaceae,Herissantia,5
Malvales,Malvaceae,Sidastrum,9
Malvales,Malvaceae,Thepparatia,1
Malvales,Malvaceae,Sidalcea,31
Malvales,Malvaceae,Urena,6
Malvales,Malvaceae,Fryxellia,1
Malvales,Malvaceae,Malvastrum,43
Malvales,Malvaceae,Cristaria,26
Malvales,Malvaceae,Urocarpidium,2
Malvales,Malvaceae,Malvaviscus,15
Malvales,Malvaceae,Dirhamphis,2
Malvales,Malvaceae,Bakeridesia,20
Malvales,Malvaceae,Napaea,1
Malvales,Malvaceae,Lavatera,19
Malvales,Malvaceae,Macrostelia,3
Malvales,Malvaceae,Hochreutinera,2
Malvales,Malvaceae,Malvalthaea,1
Malvales,Malvaceae,Quararibea,42
Malvales,Malvaceae,Althaea,20
Malvales,Malvaceae,Bastardia,1
Malvales,Malvaceae,Billieturnera,1
Malvales,Malvaceae,Navaea,1
Malvales,Malvaceae,Thespesia,17
Malvales,Malvaceae,Palaua,16
Malvales,Malvaceae,Matisia,59
Malvales,Malvaceae,Lagunaria,2
Malvales,Malvaceae,Briquetia,4
Malvales,Malvaceae,Hoheria,7
Malvales,Malvaceae,Phymosia,8
Malvales,Malvaceae,Jumelleanthus,1
Malvales,Malvaceae,Pavonia,304
